PartitionKey,RowKey,Longitude,Latitude
"14445 Olive View Dr, Sylmar, CA 91342, USA","olive view–ucla medical center, 14445, olive view drive, sylmar neighborhood council district, los angeles city council district 7, los angeles, california, 91342, united states",-118.446,34.326
"149 00 Praha, Česko","chodov, hlavní město praha, praha, 149 00, česko",14.513,50.014
"15, Dr Radha Krishnan Salai, Loganathan Colony, Mylapore, Chennai, Tamil Nadu 600004, India","csi kalyani hospital, டாக்டர் ராதாகிருஷ்ணன் சாலை, ward 121, தேனாம்பேட்டை, chennai, சென்னை மாவட்டம், tamil nadu, 600004, india",80.272,13.043
"15, Dr. KN Katju Marg, Sector 17, Rohini, New Delhi, Delhi, 110089, India","icici bank rohini sec-15, doctor kn katju marg, sector 15, rohini, alipur tehsil, north delhi district, delhi, 110089, india",77.114,28.736
"15, Vanasthalipuram Rd, Dwarakamai Nagar Colony, Vanasthalipuram, Hyderabad, Telangana 500070, India","subcentre, vansthalipuram, vanasthalipuram, ward 15 vanasthalipuram, greater hyderabad municipal corporation east zone, hyderabad, hayathnagar mandal, ranga reddy district, telangana, 501505, india",78.575,17.335
"150 Bd d'Anfa, Casablanca 20250, Morocco","casablanca ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ الدار البيضاء, arrondissement de sidi belyout مقاطعة سيدي بليوط, préfecture d'arrondissements de casablanca-anfa عمالة مقاطعات الدار البيضاء أنفا, préfecture de casablanca عمالة الدار البيضاء, casablanca-settat ⵜⵉⴳⵎⵉ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات, maroc ⵍⵎⵖⵔⵉⴱ المغرب",-7.626,33.595
"15000 Шабац, Србија","шабац, град шабац, мачвански управни округ, централна србија, 15000, србија",19.706,44.74
"15031 Rinaldi St, Mission Hills, CA 91345, USA","providence holy cross medical center, 15031, rinaldi street, mission hills neighborhood council district, los angeles city council district 7, los angeles, california, 91345, united states",-118.46,34.28
"151, Diamond Harbour Rd, Pathak Para, Behala, Kolkata, West Bengal 700034, India","behala balananda brahmachari hospital and research center, 151, diamond harbour road, new alipore, kolkata, कोलकाता, west bengal, 700034, india",88.32,22.507
"15300 Лозница, Србија","лозница, град лозница, мачвански управни округ, централна србија, 15300, србија",19.236,44.522
"1539, Sharoff Square, 14Th Main, 6th Cross Rd, opposite Pai Mobiles, 1st Stage, Kumaraswamy Layout, Bengaluru, Karnataka 560078, India","ವಾಣಿ ವಿಲಾಸ ಮಹಿಳೆ ಮತ್ತು ಮಕ್ಕಳ ಆಸ್ಪತ್ರೆ, ಆಲ್ಬರ್ಟ್ ವಿಕ್ಟರ್ ರಸ್ತೆ, ಕಾಟನ್ ಪೇಟೆ, ಕಲಾಸಿಪಾಳ್ಯ, bengaluru, ಬೆಂಗಳೂರು ಉತ್ತರ, ಬೆಂಗಳೂರು ನಗರ, karnataka, 560002, india",77.564,12.909
"16, Kamgar Hospital Rd, Ramachandra Nagar, Jeejamata Nagar, Thane West, Thane, Maharashtra 400604, India","kamgar hospital, road number 16z, yashodhan nagar, wagle industrial estate, thane, thane taluka, thane district, maharashtra, 400604, india",72.961,19.201
"16-300 Augustów (Lipowiec), Polska","augustów, powiat augustowski, województwo podlaskie, 16-300, polska",22.982,53.844
"16010Bursa,, Türkiye","bursa, osmangazi, bursa, marmara bölgesi, 16010, türkiye",29.063,40.183
"16010Bursa,, Türkiye","bursa, osmangazi, bursa, marmara region, 16010, turkey",29.063,40.183
"16200 Tumpat, Kelantan, Malaysia","tumpat, kelantan, 16200, malaysia",102.127,6.215
"16400Bursa,, Türkiye","inegöl, bursa, marmara bölgesi, 16400, türkiye",29.51,40.074
"16709 Vara de Rey, España","vara de rey, cuenca, castile-la mancha, 16709, spain",-2.294,39.426
"17, Netaji Subhash Marg, Nagar Nigam, Indore, Madhya Pradesh 452007, India","patidar nursing home, indore, river side road, मार्तंड चौक, indore city, indore, juni indore tahsil, इन्दौर ज़िला, madhya pradesh, 452001, india",75.86,22.724
180001,"جۆم, جۆم تہٕ کٔشیٖر, 180001, ہِندوستان",74.865,32.738
"18300 Пирот, Србија","пирот, град пирот, пиротски управни округ, централна србија, 18300, србија",22.579,43.181
"18423 Прокупље, Србија","прокупље, град прокупље, топлички управни округ, централна србија, 18400, србија",21.47,43.248
"19250 Majdanpek, Srbija","majdanpek, majdanpek municipality, bor administrative district, central serbia, 19250, serbia",21.908,44.372
"1985 Évolène, Suisse",1985,7.512,46.107
"1991 Sion, Suisse","1991, salins, sion, wallis, switzerland",7.345,46.207
"1st Ave Rd, Kunnamkulam, Kerala, India","malankara hospital, 1st avenue road, കുന്നംകുളം, തൃശൂര് ജില്ല, kerala, 680517, india",76.074,10.648
"2, A. S. Rao Nagar, Medchal, Secunderabad, Telangana 500062, India","sainikpuri-ecil main road, bhavani nagar, ward 2 dr a s rao nagar, greater hyderabad municipal corporation east zone, hyderabad, kapra mandal, medchal–malkajgiri district, telangana, 500062, india",78.559,17.478
"2, Institutional Area, Bhartendu Harish Chandra Marg, Vikas Marg Extension, Karkardooma, Anand Vihar, Delhi, 110092, India","shanti mukund hospital, bhartendu harish chandra marg, karkardooma institutional area, vivek vihar tehsil, east delhi district, delhi, 110092, india",77.302,28.646
"2, Sion - Panvel Hwy, Sector 18, Kamothe, Navi Mumbai, Maharashtra 410209, India","dahisar (w) to mandale metro (line-2), sion panvel highway, mandala, m",73.03,19.03
"20, Chhola Rd, Narayan Das Market, Railway Colony, Bhopal, Madhya Pradesh 462001, India","bhopal junction station, bhopal junction parking platform 6, west central railway colony, ibrahimpura, bhopal, huzur tahsil, bhopal district, madhya pradesh, 462001, india",77.41,23.267
"2000 Shtip, Severna Makedonija","shtip, municipality of shtip, eastern region, 2000, north macedonia",22.192,41.737
"20021 Bollate, Italia","bollate, milano, lombardia, 20021, italia",9.117,45.528
"2062 Seefeld-Kadolz, Österreich","2062, seefeld-kadolz, bezirk hollabrunn, niederösterreich, österreich",16.175,48.716
"21-100 Lubartów (Nowodwór), Polska","lubartów, powiat lubartowski, województwo lubelskie, 21-100, polska",22.609,51.458
"21-500 Biała Podlaska (Rakowiska), Polska","21-500 biała podlaska, poland",23.119,52.034
"21052 Busto Arsizio, Italia","busto arsizio, varese, lombardia, 21052, italia",8.85,45.612
"21220 Bečej, Srbija","becej, becej municipality, south backa administrative district, vojvodina, 21220, serbia",20.047,45.609
"21700, Nepal","सुर्खेत, कर्णाली प्रदेश, 21700, नेपाल",81.779,28.517
"21700Diyarbakır,, Türkiye","lice, diyarbakır, güneydoğu anadolu bölgesi, 21700, türkiye",40.647,38.461
"21904, Nepal","kohalpur, banke, 21904, nepal",81.669,28.209
"21904, Nepal","kohalpur, banke, lumbini province, 21904, nepal",81.669,28.209
"21904, Nepal","kohalpur, बाँके, लुम्बिनी प्रदेश, 21904, नेपाल",81.669,28.209
"22, Bais Godam Flyover, Shivaji Nagar, Suraj Nagar, Civil Lines, Jaipur, Rajasthan 302006, India","holiday inn jaipur city centre, 22, bais godam flyover, bardar patel nagar, bais godam, jaipur, jaipur municipal corporation, jaipur tehsil, jaipur district, rajasthan, 302001, india",75.787,26.903
"2200 Herentals, België","herentals, turnhout, antwerp, flanders, 2200, belgium",4.836,51.178
"22100 Como, Italia","22100 como co, italia",9.086,45.812
"2213 Ponce Bypass, Ponce, 00717, Puerto Rico","hospital damas, 2213, ponce bypass, playa, canas urbano, ponce, puerto rico, 00716, united states",-66.618,17.997
"223056, Сеницкий сельский совет, Минская область, Беларусь",223056 сеницкий,27.481,53.84
"22400 Ruma, Srbija","ruma, ruma municipality, srem administrative district, vojvodina, 22400, serbia",19.806,45.005
"22614, Tijuana, Baja California, México","tijuana, municipio de tijuana, baja california, 22000, méxico",-117.06,32.526
"22950Edirne (Merkez),, Türkiye","edirne, sarıcapaşa mahallesi, edirne merkez, edirne, marmara bölgesi, 22020, türkiye",26.734,41.84
"22FC+555, Kunigal, Karnataka 572130, India","ಕುಣಿಗಲ್, ಕುಣಿಗಲ್ ತಾಲೂಕು, ತುಮಕೂರು ಜಿಲ್ಲೆ, karnataka, 572130, india",77.02,13.023
"23, Maniram Dewan Rd, Bamunimaidan, Guwahati, Assam 781021, India","east end nursing home and research institute, 1st byelane, barnachal path, railway colony, guwahati, kamrup metropolitan, assam, 781021, india",91.785,26.184
"23020, La Paz, Baja California Sur, Mexico","la paz, municipio de la paz, baja california sur, 23020, méxico",-110.302,24.161
"2312, Rath Rd, Akarpuri Housing Colony, Old Town, Bhubaneswar, Odisha 751002, India","municipality hospital, bbsr, rath road, ward 60, south east zone, bhubaneswar municipal corporation, bhubaneswar (m.corp.), khordha district, odisha, 752034, india",85.832,20.243
"2320 Delchevo, Severna Makedonija","delchevo, municipality of delchevo, eastern region, 2320, north macedonia",22.771,41.966
"233V+4P5, Hosaline Rd, Ammeer Mohalla, Hassan, Karnataka 573201, India","channapatna housing board colony, ameer mohalla, ಹಾಸನ, ಹಾಸನ ತಾಲೂಕು, ಹಾಸನ ಜಿಲ್ಲೆ, karnataka, 573201, india",76.094,13.003
"2346+G5G, Rewa Basantpur South, Bihar 843101, India","subcentre, rewa basantpur, mdr, saraiya, मुज़फ़्फ़रपुर, bihar, 843101, india",85.06,26.006
"23°50'22.9""N 91°16'49., Rd Number 7, Ram Nagar, Agartala, Tripura 799002, India","igm civil hospital, hospital road, haradhan sangha, krishna nagar, agartala, mohanpur, west tripura district, tripura, 799001, india",91.28,23.84
"24, Fatehganj Main Rd, Jayesh Colony, Fatehgunj, Vadodara, Gujarat 390002, India","our lady of pillar hospital, pandya bridge, alkapuri, vadodara, vadodara rural taluka, vadodara district, gujarat, 390001, india",73.19,22.325
"24, Gorachand Rd, Beniapukur, Kolkata, West Bengal 700014, India","calcutta national medical college hospital blood bank, cit road (dr. sundari mohan avenue), beniapukur, kolkata, west bengal, 700014, india",88.371,22.546
"24-127, Ranga Reddy Nagar, Kukatpally, Hyderabad, Telangana 500037, India","ankura kodali hospital, jeedimetla main road, idpl, ward 127 rangareddy nagar, greater hyderabad municipal corporation north zone, hyderabad, quthbullapur mandal, medchal–malkajgiri district, telangana, 500037, india",78.434,17.492
"24-127, Ranga Reddy Nagar, Kukatpally, Hyderabad, Telangana 500037, India","ward 127 rangareddy nagar, greater hyderabad municipal corporation north zone, hyderabad, kukatpally mandal, medchal–malkajgiri district, telangana, india",78.434,17.492
"24-127, Ranga Reddy Nagar, Kukatpally, Hyderabad, Telangana 500037, India","ward 127 rangareddy nagar, greater hyderabad municipal corporation north zone, hyderabad, kukatpally mandal, మేడ్చల్-మల్కాజ్‌గిరి, telangana, india",78.434,17.492
"24000 Périgueux, France","périgueux, dordogne, nouvelle-aquitaine, france métropolitaine, 24000, france",0.722,45.187
"24000 Суботица, Србија","суботица, град суботица, севернобачки управни округ, војводина, 24000, србија",19.653,46.104
"24036 Ponte San Pietro, Italia","ponte san pietro, bergamo, lombardia, 24036, italia",9.586,45.697
"24940, Maricá, Brazil",249407,-42.948,-22.931
"25000 Sombor, Srbija","sombor, city of sombor, west backa administrative district, vojvodina, 25000, serbia",19.135,45.767
"25063 Gardone Val Trompia, Italia","gardone val trompia, comunità montana della valle trompia, brescia, lombardia, 25063, italia",10.186,45.688
"25C8+9V4, W Main Rd, Dhanam Nagar, Kumudam Nagar, Mugalivakkam, Chennai, Tamil Nadu 600125, India","mugalivakkam, zone 12 alandur, முகலிவாக்கம், alandur, சென்னை மாவட்டம், tamil nadu, 600125, india",80.167,13.021
"2600 København, Danmark","2600 glostrup, danmark",12.401,55.666
"26000 Pancevo, Serbia","pančevo, city of pančevo, south banat administrative district, vojvodina, 26000, serbia",20.665,44.881
"2610 Antwerpen, België","wilrijk, antwerp, flanders, 2610, belgium",4.394,51.169
"263 Farmington Ave, Farmington, CT 06030, USA","university of connecticut health center, 263, farmington avenue, oakland gardens, farmington, capitol planning region, 06030, united states",-72.791,41.732
"26780 Allan, France","allan, nyons, drôme, auvergne-rhône-alpes, metropolitan france, 26780, france",4.786,44.499
"2707 L St, Ord, NE 68862, USA","valley county health system medical clinic - ord, 2707, l street, kittles trailer court, ord, valley county, nebraska, 68862, united states",-98.943,41.602
"27268 Castro de Rei, España","saa, san xiao de mos, castro de rei, terra chá, lugo, galicia, 27268, españa",-7.552,43.158
"27300 Bernay, France","bernay, eure, normandie, france métropolitaine, 27300, france",0.594,49.088
"27500 Eura, Suomi","satara, eura, rauma sub-region, satakunta, south-western finland, mainland finland, 27820, finland",22.09,61.046
"28, Arjun Nagar Phatak Rd, Gopal Nagar-A, Agrasen Nagar, Gopal Pura Mode, Jaipur, Rajasthan 302015, India","durgapura, ajrun nagar road, ashok vihar vistar, gopalpura, jaipur municipal corporation, sanganer tehsil, jaipur district, rajasthan, 302018, india",75.787,26.866
"28021 Borgomanero, Italia","borgomanero, novara, piemonte, 28021, italia",8.463,45.699
